paper,species,type,num_trees,tree_age_avg,observed_percent_grafted,observed_grafts_per_tree,mean_dbh,tree_density,known_dist,max_dbh,lat,long,citation,notes,
Tarroux and DeRoschers 2011,Pinus banksiana,natural,13,,69,0.92,12.27,4200,,,,,"Tarroux, E., & DesRochers, A. (2011). Effect of natural root grafting on growth response of jack pine (Pinus banksiana; Pinaceae). American Journal of botany, 98(6), 967-974.",,
Tarroux and DeRoschers 2011,Pinus banksiana,natural,18,,44,0.67,15.61,3800,,,,,"Tarroux, E., & DesRochers, A. (2011). Effect of natural root grafting on growth response of jack pine (Pinus banksiana; Pinaceae). American Journal of botany, 98(6), 967-974.",,
Tarroux and DeRoschers 2011,Pinus banksiana,natural,25,,60,0.72,12.8,5000,,,,,"Tarroux, E., & DesRochers, A. (2011). Effect of natural root grafting on growth response of jack pine (Pinus banksiana; Pinaceae). American Journal of botany, 98(6), 967-974.",,
Tarroux and DeRoschers 2011,Pinus banksiana,plantation,12,,42,0.5,18.67,4000,,,,,"Tarroux, E., & DesRochers, A. (2011). Effect of natural root grafting on growth response of jack pine (Pinus banksiana; Pinaceae). American Journal of botany, 98(6), 967-974.",,
Tarroux and DeRoschers 2011,Pinus banksiana,plantation,14,,29,0.29,12.53,3000,,,,,"Tarroux, E., & DesRochers, A. (2011). Effect of natural root grafting on growth response of jack pine (Pinus banksiana; Pinaceae). American Journal of botany, 98(6), 967-974.",,
Tarroux and DeRoschers 2011,Pinus banksiana,plantation,11,,54,0.45,19.78,4000,,,,,"Tarroux, E., & DesRochers, A. (2011). Effect of natural root grafting on growth response of jack pine (Pinus banksiana; Pinaceae). American Journal of botany, 98(6), 967-974.",,
Tarroux et al 2010,Pinus banksiana,natural,17,,71,0.88,17.22,4400,,,,,"Tarroux, E., DesRochers, A., & Krause, C. (2010). Effect of natural root grafting on growth response of jack pine (Pinus banksiana) after commercial thinning. Forest ecology and management, 260(4), 526-535.",,
Tarroux et al 2010,Pinus banksiana,natural,16,,56,0.69,13.17,4000,,,,,"Tarroux, E., DesRochers, A., & Krause, C. (2010). Effect of natural root grafting on growth response of jack pine (Pinus banksiana) after commercial thinning. Forest ecology and management, 260(4), 526-535.",,
Gaspard and DeRoschers 2020,Populus balsamifera × Populus trichocarpa,plantation,35,,17,0.17,9,10000,1,,48.34,78.08,"Gaspard, D. T., & DesRochers, A. (2020). Natural root grafting in hybrid poplar clones. Trees, 34(4), 881-890.",,
Gaspard and DeRoschers 2020,Populus balsamifera × Populus trichocarpa,plantation,10,,0,0,13.2,1000,3,,48.34,78.08,"Gaspard, D. T., & DesRochers, A. (2020). Natural root grafting in hybrid poplar clones. Trees, 34(4), 881-890.",,
Gaspard and DeRoschers 2020,Populus maximowiczii × Populus balsamifera),plantation,23,,70,1.91,11.1,10000,1,,48.34,78.08,"Gaspard, D. T., & DesRochers, A. (2020). Natural root grafting in hybrid poplar clones. Trees, 34(4), 881-890.",,
Gaspard and DeRoschers 2020,Populus maximowiczii × Populus balsamifera),plantation,10,,0,0,14.8,1000,3,,48.34,78.08,"Gaspard, D. T., & DesRochers, A. (2020). Natural root grafting in hybrid poplar clones. Trees, 34(4), 881-890.",,
Quer et al 2020,Abies balsamea,natural,71,,32.4,0.4212,7.9,14200,0.46,,48.76.27.8,77.77.93.3,"Quer, E., Baldy, V., & DesRochers, A. (2020). Ecological drivers of root grafting in balsam fir natural stands. Forest Ecology and Management, 475, 118388.",,
Quer et al 2020,Abies balsamea,natural,24,,41.7,0.5004,16.5,4800,0.81,,48.18.26.1,78.84.63.7,"Quer, E., Baldy, V., & DesRochers, A. (2020). Ecological drivers of root grafting in balsam fir natural stands. Forest Ecology and Management, 475, 118388.",,
Quer et al 2020,Abies balsamea,natural,30,,40,0.52,11.9,6000,0.77,,48.76.27.8,77.77.93.3,"Quer, E., Baldy, V., & DesRochers, A. (2020). Ecological drivers of root grafting in balsam fir natural stands. Forest Ecology and Management, 475, 118388.",,
"Bormann and Graham, 1959",pinus strobus,natural,20,15,50,0.55,6.6,11700,,,,,"Bormann, F. H., & Graham, B. F. (1959). The occurrence of natural root grafting in eastern white pine, Pinus strobus L., and its ecological implications. Ecology, 40(4), 677-691.","lyme, NH",
"Bormann and Graham, 1959",pinus strobus,natural,20,19,30,0.35,7.6,6900,,,,,"Bormann, F. H., & Graham, B. F. (1959). The occurrence of natural root grafting in eastern white pine, Pinus strobus L., and its ecological implications. Ecology, 40(4), 677-691.","hanover, NH",
"Bormann and Graham, 1959",pinus strobus,plantation,20,27,50,0.7,16.2,3000,6ftx6ft,,,,"Bormann, F. H., & Graham, B. F. (1959). The occurrence of natural root grafting in eastern white pine, Pinus strobus L., and its ecological implications. Ecology, 40(4), 677-691.","hanover, nh reservoir",
"Bormann and Graham, 1959",pinus strobus,plantation,5,39,80,1,19.8,1600,,,,,"Bormann, F. H., & Graham, B. F. (1959). The occurrence of natural root grafting in eastern white pine, Pinus strobus L., and its ecological implications. Ecology, 40(4), 677-691.","downer state forest annex, sharon vt",
"Bormann and Graham, 1959",pinus strobus,natural,12,55,66.66666667,1.166666667,27.7,440,,,,,"Bormann, F. H., & Graham, B. F. (1959). The occurrence of natural root grafting in eastern white pine, Pinus strobus L., and its ecological implications. Ecology, 40(4), 677-691.","hanover, nh age range 30-72",
salomon et al 2016,picea mariana,natural,52,73.7,65.38461538,,12.2,4727,,,48.34,78.07,"Salomón, R. L., Tarroux, E., & DesRochers, A. (2016). Natural root grafting in Picea mariana to cope with spruce budworm outbreaks. Canadian Journal of Forest Research, 46(8), 1059-1066.",,
salomon et al 2017,picea mariana,natural,45,76.3,77.77777778,,15.8,2250,,,48.34,78.07,"Salomón, R. L., Tarroux, E., & DesRochers, A. (2016). Natural root grafting in Picea mariana to cope with spruce budworm outbreaks. Canadian Journal of Forest Research, 46(8), 1059-1066.",,
Vovides et al 2021,Avicennia germinans,natural,27,,70.4,1.111111111,27.206,300,,,19.33,96.22,"Vovides, A. G., Wimmler, M. C., Schrewe, F., Balke, T., Zwanzig, M., Piou, C., ... & Berger, U. (2021). Cooperative root graft networks benefit mangrove trees under stress. Communications biology, 4(1), 1-8.",tree_density is A. Germinans density; stand density is somettimes greater,study site is located at the La Mancha lagoon (Fig. 1a) at 19°33′−19°36′ N; 96°22′−96°24′ W
Vovides et al 2021,Avicennia germinans,natural,28,,64.3,0.756756757,25.22115,311,,,19.33,96.22,"Vovides, A. G., Wimmler, M. C., Schrewe, F., Balke, T., Zwanzig, M., Piou, C., ... & Berger, U. (2021). Cooperative root graft networks benefit mangrove trees under stress. Communications biology, 4(1), 1-8.",,
Vovides et al 2021,Avicennia germinans,natural,55,,34.5,0.567901235,19.45406,611,,,19.33,96.22,"Vovides, A. G., Wimmler, M. C., Schrewe, F., Balke, T., Zwanzig, M., Piou, C., ... & Berger, U. (2021). Cooperative root graft networks benefit mangrove trees under stress. Communications biology, 4(1), 1-8.",,
Vovides et al 2021,Avicennia germinans,natural,43,,55.8,0.965517241,22.58,478,,,19.33,96.22,"Vovides, A. G., Wimmler, M. C., Schrewe, F., Balke, T., Zwanzig, M., Piou, C., ... & Berger, U. (2021). Cooperative root graft networks benefit mangrove trees under stress. Communications biology, 4(1), 1-8.",,
Vovides et al 2021,Avicennia germinans,natural,47,,68.1,1.071428571,24.16538,522,,,19.33,96.22,"Vovides, A. G., Wimmler, M. C., Schrewe, F., Balke, T., Zwanzig, M., Piou, C., ... & Berger, U. (2021). Cooperative root graft networks benefit mangrove trees under stress. Communications biology, 4(1), 1-8.",,
Vovides et al 2021,Avicennia germinans,natural,37,,51.4,0.509090909,21.21143,411,,,19.33,96.22,"Vovides, A. G., Wimmler, M. C., Schrewe, F., Balke, T., Zwanzig, M., Piou, C., ... & Berger, U. (2021). Cooperative root graft networks benefit mangrove trees under stress. Communications biology, 4(1), 1-8.",,
Vovides et al 2021,Avicennia germinans,natural,81,,44.4,0.930232558,15.69361,900,,,19.33,96.22,"Vovides, A. G., Wimmler, M. C., Schrewe, F., Balke, T., Zwanzig, M., Piou, C., ... & Berger, U. (2021). Cooperative root graft networks benefit mangrove trees under stress. Communications biology, 4(1), 1-8.",,
Vovides et al 2021,Avicennia germinans,natural,58,,63.8,1.021276596,22.8557,644,,,19.33,96.22,"Vovides, A. G., Wimmler, M. C., Schrewe, F., Balke, T., Zwanzig, M., Piou, C., ... & Berger, U. (2021). Cooperative root graft networks benefit mangrove trees under stress. Communications biology, 4(1), 1-8.",,
"Külla, T., & Lõhmus, K. (1999)",Picea abies,natural,6,40,33,0.33,19.4,1550,,,58.42,26.44,"Külla, T., & Lõhmus, K. (1999). Influence of cultivation method on root grafting in Norway spruce (Picea abies (L.) Karst.). Plant and Soil, 217(1), 91-100.",,
"Külla, T., & Lõhmus, K. (1999)",Picea abies,plantation,8,43,37,0.375,17.4,1783,2x2,,58.42,26.44,"Külla, T., & Lõhmus, K. (1999). Influence of cultivation method on root grafting in Norway spruce (Picea abies (L.) Karst.). Plant and Soil, 217(1), 91-100.",50 km sw of stand 1,4 trees only excavted to 1/2 the extent--so more like 6 trees really
"Külla, T., & Lõhmus, K. (1999)",Picea abies,plantation,9,43,75,1.375,18.1,1722,9 plants on 2.3x3m plots spaces 3.5m apart,,58.42,26.44,"Külla, T., & Lõhmus, K. (1999). Influence of cultivation method on root grafting in Norway spruce (Picea abies (L.) Karst.). Plant and Soil, 217(1), 91-100.",50 kn sw of stand 1,
Gordon 1974,,,5,,100,0.6,,,,,,,"Gordon, D. E. (1974). The importance of root grafting in the spread of phytophthora root rot in an immature stand of Port-Orford-cedar.",sp_prop=.9,
Gordon 1975,,,10,,100,1.7,,,,,,,"Gordon, D. E. (1974). The importance of root grafting in the spread of phytophthora root rot in an immature stand of Port-Orford-cedar.",,
Gordon 1976,,,9,,100,2.111111111,,,,,,,"Gordon, D. E. (1974). The importance of root grafting in the spread of phytophthora root rot in an immature stand of Port-Orford-cedar.",,
Gordon 1977,,,9,,100,1.777777778,,,,,,,"Gordon, D. E. (1974). The importance of root grafting in the spread of phytophthora root rot in an immature stand of Port-Orford-cedar.",,
Gordon 1978,,,3,,0,0,,,,,,,"Gordon, D. E. (1974). The importance of root grafting in the spread of phytophthora root rot in an immature stand of Port-Orford-cedar.",,
Neal and Davis 2015,Ailanthus altissima,natural,5,11.8,80,1.8,15.1,2139.273107,,,,,"O’Neal, E. S., & Davis, D. D. (2015). Intraspecific root grafts and clonal growth within Ailanthus altissima stands influence Verticillium nonalfalfae transmission. Plant disease, 99(8), 1070-1077.","location Locke Valley near Shade Gap, PA",
Neal and Davis 2015,Ailanthus altissima,natural,5,37.6,100,1.80,18.2,1924.744006,,,,,"O’Neal, E. S., & Davis, D. D. (2015). Intraspecific root grafts and clonal growth within Ailanthus altissima stands influence Verticillium nonalfalfae transmission. Plant disease, 99(8), 1070-1077.","location State Game Lands 322 near Petersburg, PA (Huntingdon Co.)",
Neal and Davis 2015,Ailanthus altissima,natural,5,38.9,80,3.4,22.3,1386.869231,,,,,"O’Neal, E. S., & Davis, D. D. (2015). Intraspecific root grafts and clonal growth within Ailanthus altissima stands influence Verticillium nonalfalfae transmission. Plant disease, 99(8), 1070-1077.","location State Game Lands 281 near Newport, PA (Perry Co.).",
Tarroux and DeRoschers 2010,Pinus banksiana,natural,17,55,70.6,0.88,17.22396047,4400,,,,,"Tarroux, E., & DesRochers, A. (2010). Frequency of root grafting in naturally and artificially regenerated stands of Pinus banksiana: influence of site characteristics. Canadian Journal of Forest Research, 40(5), 861-871.",,
Tarroux and DeRoschers 2011,Pinus banksiana,natural,16,55,56.2,0.69,13.15904929,4000,,,,,"Tarroux, E., & DesRochers, A. (2010). Frequency of root grafting in naturally and artificially regenerated stands of Pinus banksiana: influence of site characteristics. Canadian Journal of Forest Research, 40(5), 861-871.",,
Tarroux and DeRoschers 2012,Pinus banksiana,natural,23,90,60.9,0.83,18.33399139,4600,,,,,"Tarroux, E., & DesRochers, A. (2010). Frequency of root grafting in naturally and artificially regenerated stands of Pinus banksiana: influence of site characteristics. Canadian Journal of Forest Research, 40(5), 861-871.",,
Tarroux and DeRoschers 2013,Pinus banksiana,natural,35,45,57.1,0.63,11.88821221,6200,,,,,"Tarroux, E., & DesRochers, A. (2010). Frequency of root grafting in naturally and artificially regenerated stands of Pinus banksiana: influence of site characteristics. Canadian Journal of Forest Research, 40(5), 861-871.",,
Tarroux and DeRoschers 2014,Pinus banksiana,natural,23,45,60.9,0.87,14.40618083,6200,,,,,"Tarroux, E., & DesRochers, A. (2010). Frequency of root grafting in naturally and artificially regenerated stands of Pinus banksiana: influence of site characteristics. Canadian Journal of Forest Research, 40(5), 861-871.",,
Tarroux and DeRoschers 2015,Pinus banksiana,natural,14,75,21.4,0.5,21.49851054,3100,,,,,"Tarroux, E., & DesRochers, A. (2010). Frequency of root grafting in naturally and artificially regenerated stands of Pinus banksiana: influence of site characteristics. Canadian Journal of Forest Research, 40(5), 861-871.",,
Tarroux and DeRoschers 2016,Pinus banksiana,plantation,15,35,60,0.67,20.65272979,3800,,,,,"Tarroux, E., & DesRochers, A. (2010). Frequency of root grafting in naturally and artificially regenerated stands of Pinus banksiana: influence of site characteristics. Canadian Journal of Forest Research, 40(5), 861-871.",,
Tarroux and DeRoschers 2017,Pinus banksiana,plantation,16,35,56.2,0.63,18.36868204,4000,,,,,"Tarroux, E., & DesRochers, A. (2010). Frequency of root grafting in naturally and artificially regenerated stands of Pinus banksiana: influence of site characteristics. Canadian Journal of Forest Research, 40(5), 861-871.",,
Tarroux and DeRoschers 2018,Pinus banksiana,plantation,20,35,60,0.6,10.82303277,5000,,,,,"Tarroux, E., & DesRochers, A. (2010). Frequency of root grafting in naturally and artificially regenerated stands of Pinus banksiana: influence of site characteristics. Canadian Journal of Forest Research, 40(5), 861-871.",,
Tarroux and DeRoschers 2019,Pinus banksiana,plantation,12,35,41.7,0.5,18.67799871,4000,,,,,"Tarroux, E., & DesRochers, A. (2010). Frequency of root grafting in naturally and artificially regenerated stands of Pinus banksiana: influence of site characteristics. Canadian Journal of Forest Research, 40(5), 861-871.",,
Tarroux and DeRoschers 2020,Pinus banksiana,plantation,14,35,28.6,0.29,12.51433035,3000,,,,,"Tarroux, E., & DesRochers, A. (2010). Frequency of root grafting in naturally and artificially regenerated stands of Pinus banksiana: influence of site characteristics. Canadian Journal of Forest Research, 40(5), 861-871.",,
Tarroux and DeRoschers 2021,Pinus banksiana,plantation,11,35,54.5,0.45,19.7708002,4000,,,,,"Tarroux, E., & DesRochers, A. (2010). Frequency of root grafting in naturally and artificially regenerated stands of Pinus banksiana: influence of site characteristics. Canadian Journal of Forest Research, 40(5), 861-871.",,